id,name,other_names,data
1,猪肉,,
2,排骨,,
3,五花肉,,
4,火腿,,
5,里脊,,
6,猪蹄,,
7,猪肚,,
8,猪肝,,
9,肥肠,,
10,猪腰,,
11,香肠,,
12,猪骨,,
13,瘦肉,,
14,肉馅,,
15,猪肘,,
16,肥肉,,
17,肥瘦猪肉,,
18,猪耳朵,,
19,后臀尖,,
20,猪皮,,
21,猪心,,
22,猪血,,
23,猪肺,,
24,猪蹄筋,,
25,牛排,,
26,牛腩,,
27,肥牛,,
28,百叶,,
29,牛蹄筋,,
30,牛肚,,
31,牛里脊,,
32,牛尾,,
33,牛心,,
34,羊肉,,
35,羊排,,
36,羊后腿,,
37,羊里脊,,
38,羊肝,,
39,羊蝎子,,
40,羊腰,,
41,羊肚,,
42,羊骨,,
43,羊腿,,
44,鸡肉,,
45,鸡胸,,
46,鸡腿,,
47,鸡翅,,
48,鸡爪,,
49,鸡胗,,
50,火鸡,,
51,鸡心,,
52,鸡肝,,
53,仔鸡,,
54,乌鸡,,
55,鸭肉,,
56,鸭腿,,
57,鸭血,,
58,鸭翅,,
59,鸭胗,,
60,鸭肝,,
61,鸭脖,,
62,鸭肠,,
63,鸭掌,,
64,鸭心,,
65,鹅肉,,
66,鹅肝,,
67,牛蛙,,
68,兔肉,,
69,驴肉,,
70,田鸡,,
71,培根,,
72,腊肉,,
73,肉松,,
74,咸肉,,
75,午餐肉,,
76,叉烧肉,,
77,熏肉,,
78,苹果,,
79,香蕉,,
80,梨,,
81,芒果,,
82,菠萝,,
83,草莓,,
84,杏,,
85,猕猴桃,,
86,柚子,,
87,西瓜,,
88,木瓜,,
89,火龙果,,
90,荔枝,,
91,山楂,,
92,樱桃,,
93,柿子,,
94,石榴,,
95,柠檬,,
96,枣,,
97,橙子,,
98,桔子,橘子,
99,杨梅,,
100,无花果,,
101,桂圆,,
102,黄桃,,
103,桃,,
104,榴莲,,
105,金桔,,
106,李子,,
107,黑枣,,
108,椰子,,
109,甘蔗,,
110,百香果,,
111,酸枣,,
112,哈密瓜,,
113,桑葚,,
114,香瓜,,
115,杨桃,,
116,蓝莓,,
117,蔓越莓,,
118,牛油果,,
119,西梅,,
120,槐花,,
121,桂花,,
122,洛神花,,
123,牡丹花,,
124,芍药花,,
125,金银花,,
126,花生,,
127,芝麻,,
128,核桃,,
129,杏仁,,
130,莲子,,
131,腰果,,
132,松子,,
133,栗子,,
134,枸杞,,
135,榛子,,
136,白果,,
137,瓜子仁,,
138,开心果,,
139,山楂干,,
140,夏威夷果,,
141,干枣,,
142,桃脯,,
143,土豆,,
144,胡萝卜,,
145,白萝卜,,
146,百合,,
147,冬笋,,
148,春笋,,
149,洋葱,,
150,青笋,,
151,藕,莲藕,
152,茭白,,
153,红薯,,
154,紫薯,,
155,荸荠,,
156,山药,,
157,芋头,,
158,黄瓜,,
159,南瓜,,
160,冬瓜,,
161,苦瓜,,
162,丝瓜,,
163,辣椒,,
164,青椒,,
165,红椒,,
166,茄子,,
167,白菜,,
168,油菜,,
169,韭菜,,
170,菠菜,,
171,芹菜,,
172,圆白菜,,
173,小白菜,,
174,娃娃菜,,
175,生菜,,
176,茼蒿,,
177,芦笋,,
178,蕨菜,,
179,豆苗,,
180,紫甘蓝,,
181,芥蓝,,
182,荠菜,,
183,香椿,,
184,韭黄,,
185,牛蒡,,
186,橄榄菜,,
187,竹笋,,
188,青菜,,
189,香菜,,
190,青蒜,,
191,西芹,,
192,菜花,,
193,海带,,
194,紫菜,,
195,海苔,,
196,香菇,,
197,木耳,,
198,银耳,,
199,金针菇,,
200,平菇,,
201,草菇,,
202,口蘑,,
203,茶树菇,,
204,猴头菇,,
205,榛蘑,,
206,杏鲍菇,,
207,鸡腿菇,,
208,蟹味菇,,
209,冬菇,,
210,裙带菜,,
211,蘑菇,,
212,双孢菇,,
213,竹笋,,
214,白玉菇,,
215,牛肝菌,,
216,黑牛肝菌,,
217,黄牛肝菌,黄皮牛肝菌,
218,白灵菇,,
219,滑子菇,,
220,元蘑,,
221,鸡枞,,
222,石耳,,
223,牛肚菌,,
224,干巴菌,,
225,红蘑,,
226,慈菇,,
227,罗汉果,,
228,川贝,,
229,首乌,,
230,人参,,
231,荷叶,,
232,阿胶,,
233,冬虫夏草,,
234,陈皮,,
235,白芷,,
236,肉桂,,
237,酸菜,,
238,榨菜,,
239,辣白菜,,
240,泡菜,,
241,酸笋,,
242,酸豆角,,
243,酸豇豆,,
244,虾,,
245,虾仁,,
246,海虾,,
247,河虾,,
248,北极虾,,
249,龙虾,,
250,明虾,,
251,基围虾,,
252,小龙虾,,
253,皮皮虾,,
254,海米,,
255,虾皮,,
256,江虾,,
257,对虾,,
258,梭子蟹,,
259,大闸蟹,,
260,河蟹,,
261,螃蟹,,
262,青蟹,,
263,海蟹,,
264,帝王蟹,,
265,花蟹,,
266,沙蟹,,
267,海螺,,
268,扇贝,,
269,鲜贝,,
270,干贝,,
271,蛤蜊,,
272,蛏子,,
273,生蚝,,
274,文蛤,,
275,鲍鱼,,
276,海蚌,,
277,香螺,,
278,田螺,,
279,红螺,,
280,贻贝,,
281,河蚬,,
282,河蚌,,
283,赤贝,,
284,草鱼,,
285,鲫鱼,,
286,鲈鱼,,
287,鲤鱼,,
288,鲶鱼,,
289,带鱼,,
290,三文鱼,,
291,鳕鱼,,
292,黄鱼,,
293,鲳鱼,,
294,鳗鱼,,
295,龙利鱼,,
296,鲅鱼,,
297,桂鱼,,
298,鱼头,,
299,金枪鱼,,
300,丁香鱼,,
301,鲢鱼,,
302,银鱼,,
303,青鱼,,
304,秋刀鱼,,
305,鲷鱼,,
306,比目鱼,,
307,多春鱼,,
308,多宝鱼,,
309,黑鱼,,
310,鳊鱼,,
311,鱼片,,
312,武昌鱼,,
313,罗非鱼,,
314,鲮鱼,,
315,虹鳟鱼,,
316,鲟鱼,,
317,沙尖鱼,,
318,沙丁鱼,,
319,鮸鱼,,
320,石斑鱼,,
321,虱目鱼,,
322,华子鱼,,
323,跳跳鱼,,
324,鱼丸,,
325,鱼籽,,
326,鱿鱼,,
327,墨鱼,,
328,海参,,
329,海蜇,,
330,甲鱼,,
331,木鱼花,,
332,金枪鱼罐头,,
333,蟹柳,,
334,鱼干,,
335,鱼肉松,,
336,干鱿鱼,,
337,海胆,,
338,海兔,,
339,鱼板,,
340,鱼饼,,
341,大米,,
342,糙米,,
343,米饭,白米饭,
344,糯米,,
345,年糕,,
346,香米,,
347,糯米粉,,
348,饵块,,
349,粳米,,
350,籼米,,
351,面粉,,
352,高筋面粉,,
353,低筋面粉,,
354,中筋面粉,,
355,玉米面,,
356,全麦粉,,
357,小麦面粉,,
358,面条,,
359,挂面,,
360,意大利面,意大利面条,
361,油条,,
362,吐司,,
363,小米,,
364,黑米,,
365,紫米,,
366,薏米,,
367,燕麦片,,
368,大麦,,
369,荞麦,,
370,黄米,,
371,高粱米,,
372,小米面,,
373,荞麦粉,,
374,黄米面,,
375,菰米,,
376,玉米粒,,
377,玉米,,
378,西米,,
379,粉丝,,
380,魔芋,,
381,籼米粉,,
382,米粉,,
383,奶油,,
384,奶酪,,
385,牛奶,,
386,黄油,,
387,酸奶,,
388,豌豆,,
389,豇豆,,
390,黄豆,,
391,红豆,,
392,荷兰豆,,
393,毛豆,,
394,绿豆,,
395,蚕豆,,
396,豆腐,,
397,南豆腐,,
398,北豆腐,,
399,冻豆腐,,
400,腐竹,,
401,千张,,
402,豆浆,,
403,香干,,
404,红腰豆,,
405,油豆腐,,
406,素鸡,,
407,豆腐脑,,
408,黑豆,,
409,芸豆,,
410,油豆皮,,
411,鸡蛋,,
412,鸭蛋,,
413,鹌鹑蛋,,
414,皮蛋,,
415,卤蛋,,
416,鹅蛋,,
417,咸蛋黄,,
418,蛋清,,
419,鸡蛋液,,
420,牛至,,
421,茴香,,
422,罗勒,,
423,薄荷,,
424,姜,,
425,咖喱粉,,
426,芥末,,
427,迷迭香,,
428,胡椒粉,,
429,蒜,,
430,鸡精,,
431,花椒,,
432,生姜,,
433,八角,,
434,辣椒粉,,
435,味精,,
436,五香粉,,
437,辣椒油,,
438,鸡粉,,
439,老干妈,,
440,海鲜酱,,
441,牛肉酱,,
442,花生酱,,
443,橄榄油,,
444,菜籽油,,
445,色拉油,,
446,油,,
447,玉米油,,
448,香油,,
449,蚝油,,
450,白砂糖,,
451,绵白糖,,
452,红糖,,
453,糖粉,,
454,细砂糖,,
